2026-01-21 05:13:51.891 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: buy_sell.json
2026-01-21 05:13:51.891 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: employment.json
2026-01-21 05:13:51.891 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: lease.json
2026-01-21 05:13:51.891 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: partnership.json
2026-01-21 05:13:51.894 | INFO     | agents.llm_contract_agent:__init__:63 - ProperLLMAgent initialized (Ollama: ✓, Laws: 4)
2026-01-21 05:13:51.896 | INFO     | __main__:<module>:289 - Starting KontrataPH LLM API server on 0.0.0.0:5000
2026-01-21 05:13:59.694 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: buy_sell.json
2026-01-21 05:13:59.699 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: employment.json
2026-01-21 05:13:59.699 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: lease.json
2026-01-21 05:13:59.701 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: partnership.json
2026-01-21 05:13:59.701 | INFO     | agents.llm_contract_agent:__init__:63 - ProperLLMAgent initialized (Ollama: ✓, Laws: 4)
2026-01-21 05:13:59.704 | INFO     | __main__:<module>:289 - Starting KontrataPH LLM API server on 0.0.0.0:5000
2026-01-21 05:14:03.175 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: I need employment contract
2026-01-21 05:14:03.175 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: CREATE_CONTRACT
2026-01-21 05:14:08.441 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {'error': True, 'message': 'No explicit information provided about the employment contract.'}
2026-01-21 05:14:15.077 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: Employee name: Mark Bahala, employer's name: jaedan neypes, salary: PHP 80,000, position: senior Dev
2026-01-21 05:14:19.171 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {'employer_name': 'jaedan neypes', 'employee_name': 'Mark Bahala', 'salary': '80000', 'employment_type': 'regular', 'start_date': 'January 20, 2026', 'place_of_work': 'Arthaland, Bonificio Global City', 'working_hours': '4:00 PM - 10:00 PM', 'work_schedule': 'Monday, Tuesday, and Friday', 'position': 'senior developer'}
2026-01-21 05:14:19.332 | INFO     | utils.docx_generator:generate:22 - Generated DOCX: C:\KontrataPH\backend\output\df181cbb.docx
2026-01-21 05:14:41.801 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: I need lease contract
2026-01-21 05:14:41.801 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: CREATE_CONTRACT
2026-01-21 05:14:45.246 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {}
2026-01-21 05:14:47.882 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: • Lessor Name: Mark neypes   • Lessee Name: JAEDAN bahala   • Property Description: idk bla bla bla 
2026-01-21 05:14:52.712 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {'lessor_name': 'Mark neypes', 'lessee_name': 'JAEDAN bahala', 'rental_amount': 'PHP 3,000', 'lease_duration': '9 Years', 'start_date': 'January 1, 2026', 'payment_schedule': '1st of the Month', 'security_deposit': 'PHP 5,000', 'utilities': 'PHP 400', 'property_description': 'idk bla bla bla   • rental amount: php 3', 'repairs': 'none'}
2026-01-21 05:14:52.775 | INFO     | utils.docx_generator:generate:22 - Generated DOCX: C:\KontrataPH\backend\output\a2cf0c9c.docx
2026-01-21 05:15:20.639 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: also, create me a partnership contract
2026-01-21 05:15:20.639 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: GREETING
2026-01-21 05:15:27.615 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: create me a partnership contract
2026-01-21 05:15:27.615 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: GREETING
2026-01-21 05:16:06.687 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: create me buy and sell contract
2026-01-21 05:16:06.687 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: CREATE_CONTRACT
2026-01-21 05:16:09.686 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {}
2026-01-21 05:17:00.503 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: • Seller Name: Ed Lasco   • Buyer Name: Faith Villeta   • Item Description: Uno sa SIS   • Purchase 
2026-01-21 05:17:04.659 | INFO     | agents.llm_contract_agent:_handle_generation_flow:738 - Extracted: {'seller_name': 'Ed Lasco', 'buyer_name': 'Faith Villeta', 'item_description': 'Uno sa SIS', 'purchase_price': 'PHP 1.00', 'payment_terms': 'Via Credit Card', 'delivery_terms': 'Via PUP SIS', 'sale_type': 'idk'}
2026-01-21 05:17:04.708 | INFO     | utils.docx_generator:generate:22 - Generated DOCX: C:\KontrataPH\backend\output\0a09dd24.docx
2026-01-21 05:17:23.547 | INFO     | utils.pdf_processor:extract_text:13 - Extracted 35449 characters from PDF
2026-01-21 05:20:18.653 | INFO     | __main__:chat:91 - Chat request - Session: web-session-1768943636450, Message: analyze this contract: “MICROSOFT BUSINESS CONTRACT”   Warranty Extension Terms & Conditions – Mecha
2026-01-21 05:20:18.656 | INFO     | agents.llm_contract_agent:process_message:660 - Intent: GREETING
2026-01-21 05:29:26.063 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: buy_sell.json
2026-01-21 05:29:26.064 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: employment.json
2026-01-21 05:29:26.064 | INFO     | agents.llm_contract_agent:_load_law_files:76 - Loaded law file: lease.json
